title,arist,lyrics
Bad Guy,Billie Eilish & Justin Bieber,"White shirt now red, my bloody nose
Sleepin', you're on your tippy toes
Creepin' around like no one knows
Think you're so criminal
Bruises on both my knees for you
Don't say thank you or please
I do what I want when I'm wanting to
My soul so cynical

So you're a tough guy
Like it really rough guy
Just can't get enough guy
Chest always so puffed guy

I'm that bad type
Make your mama sad type
Make-your-girlfriend-mad type
Might seduce your dad type
I'm the bad guy (Duh)
I'm the bad guy

Gold teeth, my neck, my wrist is froze
(So icy)
I got more ice than, than the snow
That guy don't act like you don't know
That guy, so critical
Tattoos on both my sleeves, yeah I
Don't sleep, please don't wake me
Loosen my tie up, so I can breathe
It ain't political, oh no

Yeah I'm a bad guy
Ain't no holdin' back guy
Come off like a mad guy
Always got your back guy
Yeah I'm the real type
Keep you full of thrills type
Show you what it feels like
Got an open invite
I'm the bad guy, whoa (Duh)
I'm the bad guy (Duh)

I'm only good at being bad, bad

I like when you get mad
I guess I'm pretty glad that you're alone
(So icy)
You said she's scared of me?
I mean, I don't see what she sees
But maybe it's 'cause I'm wearing your cologne
(Let's go)

(I'm a bad guy)
(Damn right)
(I'm-I'm a bad guy)
(Oh yeah)
(I'm a—)"
Who You Say I Am (Live Acoustic),Hillsong Worship,"Who am I that the highest King
Would welcome me
I was lost but He brought me in
Oh His love for me

Who the Son sets free
Oh is free indeed
I'm a child of God
Yes I am

Free at last He has ransomed me
His grace runs deep
While I was a slave to sin
Jesus died for me
Yes He died for me

Who the Son sets free
Oh is free indeed
I'm a child of God
Yes I am
In my Father's house
There's a place for me
I'm a child of God
Yes I am

I am chosen, not forsaken
I am who You say I am
You are for me, not against me
I am who You say I am
I am chosen, not forsaken
I am who You say I am
You are for me, not against me
I am who You say I am
I am who You say I am

Who the Son sets free
Oh is free indeed
I'm a child of God
Yes I am
In my Father's house
There's a place for me
I'm a child of God
Yes I am
I'm a child of God
Yes I am"
Honestly (솔직히),Eric Nam,"[Romanized:]

Neol sarangeun hajiman jogeum jichingeoya
Sangcheoreul jugiga neomu duryeoungeoya
Chakhan ge anya nal wihae geureongeoya
Ajikdo neol saranghandaneun geojitmal

Neon dabeul wonhaetji shijakbuteo
Gyeolmareul miri bon yeonghwacheoreom
Budamseureowotji neon jeomjeom deo
Bin teum eopshi jjayeojin seutoricheoreom

Heeojija geu hanmadiga janinhan geogetji
Ibeul yeoreodo dashi samkigo wae mot baetneungeoji

Neol sarangeun hajiman jogeum jichingeoya
Sangcheoreul jugiga neomu duryeoungeoya
Chakhan ge anya nal wihae geureongeoya
Ajikdo neol saranghandaneun geojitmal

Harue myeot beonsshik saenggakhaetji
Na eopshi neon eotteoke jinaelji
Jigiji mothal maneun yaksokdeul
Ijen uimi eopneun maldeullo namgetji

Heeojija geu hanmadiga janinhan geogetji
Ibeul yeoreodo dashi samkigo wae mot baetneungeoji

Neol sarangeun hajiman jogeum jichingeoya
Sangcheoreul jugiga neomu duryeoungeoya
Chakhan ge anya nal wihae geureongeoya
Ajikdo neol saranghandaneun geojitmal

Heeojijaneun geu hanmadireul wae mot baetneungeoji

Saranghaetjiman ije jichingeoya
Baby I need you to say something say something
Neodo aljana ije kkeuchingeoya
Baby I need you to say something say something

Saranghandaneun geojitmal

Saranghandaneun geojitmal

[Korean:]

널 사랑은 하지만 조금 지친거야
상처를 주기가 너무 두려운거야
착한 게 아냐 날 위해 그런거야
아직도 널 사랑한다는 거짓말

넌 답을 원했지 시작부터
결말을 미리 본 영화처럼
부담스러웠지 넌 점점 더
빈 틈 없이 짜여진 스토리처럼

헤어지자 그 한마디가 잔인한 거겠지
입을 열어도 다시 삼키고 왜 못 뱉는거지

널 사랑은 하지만 조금 지친거야
상처를 주기가 너무 두려운거야
착한 게 아냐 날 위해 그런거야
아직도 널 사랑한다는 거짓말

하루에 몇 번씩 생각했지
나 없이 넌 어떻게 지낼지
지키지 못할 많은 약속들
이젠 의미 없는 말들로 남겠지

헤어지자 그 한마디가 잔인한 거겠지
입을 열어도 다시 삼키고 왜 못 뱉는거지

널 사랑은 하지만 조금 지친거야
상처를 주기가 너무 두려운거야
착한 게 아냐 날 위해 그런거야
아직도 널 사랑한다는 거짓말

헤어지자는 그 한마디를 왜 못 뱉는거지

사랑했지만 이제 지친거야
Baby I need you to say something say something
너도 알잖아 이제 끝인거야
Baby I need you to say something say something

사랑한다는 거짓말

사랑한다는 거짓말

[English translation:]

I do love you but I'm a bit tired
I'm too scared to hurt you
I'm not being nice, I'm doing this for myself
This lie of saying I still love you

You wanted an answer from the start
Like already wanting to know the ending of a movie
So I felt pressured, more and more
Like a perfectly made-up story

Let's break up, those words are so cruel
I open my mouth but I swallow it back in, why can't I say it?

I do love you but I'm a bit tired
I'm too scared to hurt you
I'm not being nice, I'm doing this for myself
This lie of saying I still love you

I thought about this several times a day
How you would live without me
All the promises that won't be kept
They'll just remain as meaningless words

Let's break up, those words are so cruel
I open my mouth but I swallow it back in, why can't I say it?

I do love you but I'm a bit tired
I'm too scared to hurt you
I'm not being nice, I'm doing this for myself
This lie of saying I still love you

Why can't I say, let's break up

I loved you but now I'm tired
Baby I need you to say something say something
You know it's over too
Baby I need you to say something say something

This lie of saying I love you

This lie of saying I love you"
Whole Heart (Hold Me Now),Hillsong United,"Hold me now
In the hands that created the heavens
Find me now
Where the grace runs as deep as Your scars
You pulled me from the clay
You set me on a rock
Called me by Your Name
And made my heart whole again

Lifted up
And my knees know it's all for Your glory
I might stand
With more reasons to sing than to fear
You pulled me from the clay
Set me on a rock
Called me by Your Name
And made my heart whole again

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

And that grace
Owns the ground where the grave did
Where all my shame remains
Left for dead in Your wake
You crashed those age-old gates
You left no stone unturned
You stepped out of that grave
And shouldered me all the way

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now"
none,none,none
none,none,none
So Will I (100 Billion X),Hillsong Worship,"God of creation
There at the start
Before the beginning of time
With no point of reference
You spoke to the dark
And fleshed out the wonder of light

And as You speak
A hundred billion galaxies are born
In the vapour of Your breath the planets form
If the stars were made to worship so will I
I can see Your heart in everything You've made
Every burning star
A signal fire of grace
If creation sings Your praises so will I

God of Your promise
You don't speak in vain
No syllable empty or void
For once You have spoken
All nature and science
Follow the sound of Your voice

And as You speak
A hundred billion creatures catch Your breath
Evolving in pursuit of what You said
If it all reveals Your nature so will I
I can see Your heart in everything You say
Every painted sky
A canvas of Your grace
If creation still obeys You so will I

If the stars were made to worship so will I
If the mountains bow in reverence so will I
If the oceans roar Your greatness so will I
For if everything exists to lift You high so will I
If the wind goes where You send it so will I
If the rocks cry out in silence so will I
If the sum of all our praises still falls shy
Then we'll sing again a hundred billion times

God of salvation
You chased down my heart
Through all of my failure and pride
On a hill You created
The light of the world
Abandoned in darkness to die

And as You speak
A hundred billion failures disappear
Where You lost Your life so I could find it here
If You left the grave behind You so will I
I can see Your heart in everything You've done
Every part designed in a work of art called love
If You gladly chose surrender so will I
I can see Your heart
Eight billion different ways
Every precious one
A child You died to save
If You gave Your life to love them so will I

Like You would again a hundred billion times
But what measure could amount to Your desire
You're the One who never leaves the one behind"
Did You Feel The Mountains Tremble,UPPERROOM,"Did you feel the mountains tremble?
Did you hear the oceans roar?
When the people rose to sing of
Jesus Christ, the Risen One

Did you feel the people tremble?
Did you hear the singers roar?
When the lost began to sing of
Jesus Christ, the Saving One

(We can sing that)
We can see that, God, You're moving
A mighty river through the nations
When young and old will turn to Jesus
Fling wide you heavenly gates
Prepare the way of the risen Lord

And open up the doors
And let the music play
Let the streets resound with singing
Songs that bring Your hope
Songs that bring Your joy, joy
Dancers who dance upon injustice

And do you feel the darkness tremble?
When all the saints join in one song
When all the streams flow as one river
To wash away our brokenness
(Oh, sing it out again)
Do you feel the darkness tremble?
When all the saints join in one song
And all the streams flow as one river
To wash away our brokenness

(And hear we see)
Hear we see that, God, You're moving
A time of jubilee is coming
When young and old return to Jesus
Fling wide you heavenly gates
Prepare the way of the risen Lord

So open up the doors
And let the music play
Let the streets resound with singing
Songs that bring Your hope
Songs that bring Your joy, joy
Dancers who dance upon injustice

So open up the doors
Let the music play
Let the streets resound with singing
It's songs that bring Your hope
Songs that bring Your joy, joy
Dancers who dance upon injustice

I put off all my heaviness and
I put on a garment of praise
I put off all my heaviness and
I put on a garment of praise
I put off all my heaviness and
I put on a garment of praise
I put off all my heaviness and
I put on a garment of praise
(Sing that again)
I put off all my heaviness and
I put on a garment of praise
'Cause You turned my mourning into dancing
You turned my night into day
I put off all my heaviness and
I put on a garment of praise
You turned my mourning into dancing
You turned my night into day
I put off all my heaviness

I put off all my heaviness and
I put on a garment of praise
Oh, I'm gonna praise You, I'm gonna praise You
I'm gonna praise You, I'm gonna praise You
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
I'm gonna rejoice
I'm gonna rejoice
Oh, I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
We praise Your name
I'm gonna rejoice in this day You made
I'm gonna rejoice in this day You made
Oh, I'm gonna rejoice in Your presence

'Cause I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart to stay, to stay
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart to stay
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart to stay
Thank You, Jesus
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart
I've got the joy, joy, joy, joy down in my heart to stay

So open up the doors
And let the music play
Let the streets resound with singing
'Cause it's songs that bring Your hope
Songs that bring Your joy
Dancers who dance upon injustice
(Sing that again)
Oh, open up the doors
And let the music play
Let the streets resound with singing
It's songs that bring Your hope
Songs that bring Your joy
Dancers who dance upon injustice
(Sing it one more time, open up)
Oh, open up the doors
And let the music play
Let the streets resound with singing
Songs that bring Your joy
Songs that bring Your joy
Dancers who dance upon injustice

Oh, we worship You
We honor You tonight
We honor You, we honor You, we honor You tonight"
Another In The Fire,Hillsong United,"There's a grace when the heart is under fire
Another way when the walls are closing in
And when I look at the space between
Where I used to be and this reckoning
I know I will never be alone

There was another in the fire
Standing next to me
There was another in the waters
Holding back the seas
And should I ever need reminding
Of how I've been set free
There is a cross that bears the burden
Where another died for me

There is another in the fire

All my debt left for dead beneath the waters
I'm no longer a slave to my sin anymore
And should I fall in the space between
What remains of me and this reckoning
Either way I won't bow to the things of this world

'Cause I know

And I know I will never be alone

There is another in the fire
Standing next to me
There is another in the waters
Holding back the seas
And should I ever need reminding
What power set me free
There is a grave that holds no body
And now that power lives in me

There is another in the fire
There is another in the fire
There is another in the fire
There is another in the fire

I can see

And I can see the light in the darkness
As the darkness bows to Him
I can hear the roar in the heavens
As the space between wears thin

I can feel the ground shake beneath us
As the prison walls cave in
Nothing stands between us
Nothing stands between us

And there is no other name
But the name that is Jesus
He who was and still is
And will be through it all
So come what may in the space between
All the things unseen
And this reckoning
I know I will never be alone

I know. Come on
I know I will never be alone

There'll be another in the fire
Standing next to me
There'll be another in the waters
Holding back the seas
And should I ever need reminding
How good You've been to me
I'll count the joy come every battle
'Cause I know that's where You'll be

I can see the light

And I can see the light in the darkness
As the darkness bows to Him
I can hear the roar in the heavens
As the space between wears thin

I can feel the ground shake beneath us
As the prison walls cave in
Nothing stands between us
Nothing stands between

There'll be another in the fire
Standing next to me
There'll be another in the waters
Holding back the seas
And should I ever need reminding
How good You've been to me
I'll count the joy come every battle
'Cause I know that's where You'll be

Count the joy come every battle
'Cause I know that's where You'll be
Count the joy come every battle
'Cause I know that's where You'll be

Sing it again

I'll count the joy come every battle
'Cause I know that's where You'll be
I'll count the joy come every battle
'Cause I know that's where You'll be"
Best Part,Joseph Vincent,"You don't know babe
When you hold me
And kiss me slowly
It's the sweetest thing
And it don't change
If I had it my way
You would know that you are

You're the coffee that I need in the morning
You're my sunshine in the rain when it's pouring
Won't you give yourself to me
Give it all

I just wanna see, yeah
I just wanna see how beautiful you are
You know that I see it
I know you're a star
Where you go I follow
No matter how far
If life is a movie
Oh you're the best part, ohh
You're the best part, ohh
Best part

It's the sunrise
And those brown eyes
You're the one that I desire
When we wake up
And then we make love
It makes me feel so nice

You're my water when I'm stuck in the desert
You're my Tylenol I take when my head hurts
You're the sunshine on my life

I just wanna see how beautiful you are
You know that I see it
I know you're a star
Where you go I follow
No matter how far
If life is a movie
Ohh, you're the best part
Ohh, you're the best part
Ohh, best part"
