title,arist,lyrics
Bow Down (Homecoming Live),Beyonce,"Coachella
Thank ya'll so much for having us once again
I'm so honored to be on this stage tonight
And this next song is for all of my queens
Do we have any beautiful queens in the house tonight?
I want you to sing along if you know the lyrics
It's called Bow Down

I know when you were little girls
You dreamt of being in my world
Don't forget it, don't forget it
Respect that, bow down bitches
I took some time to live my life
But don't think I'm just his little wife
Don't get it twisted, get it twisted
This my shit, bow down bitches

Bow down, bow bow bow down
Bow down, bow bow bow down
Bow down, bow bow bow down
I'm so crown, bow bow bow down
H-town

I'm out that H-town
Coming, coming down
I'm coming down dripping candy on the ground
Coming down dripping candy on the ground"
With You (Paradoxology),Elevation Worship,"Beneath the surface
Of my anxious imagination
Beckons a calmness
That is found in You alone

It washes over
Every doubt, every imperfection
Jesus, Your presence
Is the comfort of my soul

There's nowhere I'd rather be
When You're singing over me
I just wanna be here with You
I'm lost in Your mystery
I'm found in Your love for me
I just wanna be here with You

Here in the waiting
I won't worry about tomorrow
No need to focus
On the things I can't control

All my attention
On the wonder of this moment
Jesus, your presence
Is the comfort of my soul

There's nowhere I'd rather be
When You're singing over me
I just wanna be here with You
I'm lost in Your mystery
I'm found in Your love for me
I just wanna be here with You

So let all that I am
Be consumed with who You are
All the glory of Your presence
What more could I ask for?

So let all that I am
Be consumed with who You are
All the glory of Your presence
What more could I ask for?

So let all that I am
Be consumed with who You are
All the glory of Your presence
What more could I ask for?

There's nowhere I'd rather be
When You're singing over me
I just wanna be here with You
I'm lost in Your mystery
I'm found in Your love for me
I just wanna be here with You"
In Love With You,Chris Tomlin,"I feel like singing now
My heart is free

You've forgiven me
Your name's the sweetest sound to my ears,
Lord hold me near

I'm in love, love with You
Like I never dreamed
I'm in love, love with You
And I'm flying free
From the things that tie me down
I'm walking on the ground
I'm in love, love with You

You're all I think about
Day and night all the time
How you make my world

Go 'round and make it stop
You're all I got"
Whole Heart (Hold Me Now),Hillsong United,"Hold me now
In the hands that created the heavens
Find me now
Where the grace runs as deep as Your scars
You pulled me from the clay
You set me on a rock
Called me by Your Name
And made my heart whole again

Lifted up
And my knees know it's all for Your glory
I might stand
With more reasons to sing than to fear
You pulled me from the clay
Set me on a rock
Called me by Your Name
And made my heart whole again

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

And that grace
Owns the ground where the grave did
Where all my shame remains
Left for dead in Your wake
You crashed those age-old gates
You left no stone unturned
You stepped out of that grave
And shouldered me all the way

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

So here I stand
High in surrender
I need You now
Hold my heart
Now and forever
My soul cries out

Once I was broken
But You loved my whole heart through
Sin has no hold on me
'Cause Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now
Your grace holds me now
Your grace holds me now

Healed and forgiven
Look where my chains are now
Death has no hold on me
'Cause Your grace holds that ground
And Your grace holds me now
Your grace holds me now"
Cocoa Butter Kisses,Dua Lipa,"Cigarettes on cigarettes
Cigarettes on cigarettes
Cigarettes on cigarettes
Cigarettes on cigarettes

Cigarettes on cigarettes, my mama think I stank
I got burn holes in my hoodies, all my homies think it's dank
I miss my cocoa butter kisses
I miss my cocoa butter kisses

Okie dokie, alkie, keep it lowkey like Thor lil bro
Or he'll go blow the loudy, saudy of sour Saudi
Wiley up off peyote, wilding like that coyote
If I sip any Henny, my belly just might be outie
Pull up inside a huggy, Starsky & Hutch a dougie
I just opened up the pack in an hour I'll ash my lucky
She just yelling ""fuck me""
Two weeks she'll be yelling fuck me
Tonight she just yelling ""fuck me""
Two weeks she'll be yelling fuck me
Used to like orange cassette tapes with Timmy, Tommy, and Chuckie
And Chuck E. Cheese's pizzas, Jesus pieces, sing Jesus love me
Visine inside my eyes so my grandma would fucking hug me
Oh generation above me, yeah, know you still remember me

Cigarettes on cigarettes
Cigarettes on cigarettes
Cigarettes on cigarettes
Cigarettes on cigarettes

I will smoke a little something but I don't inhale
Everywhere that I go, everywhere they be asking how's it going
Say the going's well, go figure, Victor's light skinned
Jesus got me feeling like Colin Powell, all praise to the God
God knows he's a pro, he's a pro like COINTEL
Check, check mate, check me take me to the bedroom
Let me know me well, I mean normally
You see Norma Jean wouldn't kick it with Farmer Phil
But these kids these days, they get so high
Burn trees, smoke chlorophyll, 'til they can't feel

Got me feeling like Lauryn Hill, miseducated, my dick delegated
Rap Bill Bellamy, they said I shoulda never made it
Probably been dead or in jail
Deadbeat dad, enough of that jazz
Asshole, absinthe up in that glass
Are we there yet? Ice cubes in a bong
Rip, brain dead, take a tug then pass
Then pass

I think we all addicted
I think we all addicted, yeah
I think we all addicted
I think we all addicted

Cigarettes on cigarettes
Cigarettes on cigarettes
Cigarettes on cigarettes
Cigarettes on cigarettes

Cigarettes on cigarettes, my mama think I stank
I got burn holes in my hoodies, all my homies think it's dank
I miss my cocoa butter kisses
I miss my cocoa butter kisses
Cigarettes on cigarettes, my mama think I stank
I got burn holes in my hoodies, all my homies think it's dank
Cocoa butter kisses
I miss my cocoa butter kisses, yeah"
Wish You Were Here,Avril Lavigne,"I can be tough
I can be strong
But with you
It's not like that at all
There's a girl
That gives a shit
Behind this wall
You just walk through it

And I remember all those crazy things you said
You left them running through my head
You're always there, you're everywhere
But right now I wish you were here
All those crazy things we did
Didn't think about it, just went with it
You're always there, you're everywhere
But right now I wish you were here

Damn, damn, damn
What I'd do to have you
Here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you
Near, near, near
I wish you were here

I love
The way you are
It's who I am
Don't have to try hard
We always say
Say it like it is
And the truth
Is that I really miss

All those crazy things you said (things you said)
You left them running through my head (through my head)
You're always there, you're everywhere
But right now I wish you were here
All those crazy things we did (things we did)
Didn't think about it, just went with it (went with it)
You're always there, you're everywhere
But right now I wish you were here

Damn, damn, damn
What I'd do to have you
Here, here, here
I wish you were here
Damn, damn, damn
What I'd do to have you
Near, near, near
I wish you were here

No, I don't wanna let go
I just wanna let you know
That I never wanna let go

(Let go, oh, oh)

No, I don't wanna let go
I just wanna let you know
That I never wanna let go

(Let go let go let go let go let go let go let go)

Damn, damn, damn
What I'd do to have you
Here, here, here
I wish you were here (I wish you were here)
Damn, damn, damn
What I'd do to have you
Near, near, near
I wish you were here

Damn, damn, damn (Damn)
What I'd do to have you
Here, here, here (Here)
I wish you were here
Damn, damn, damn
What I'd do to have you
Near, near, near
I wish you were here"
Best Years Of Our Lives,Baha Men,"I get such a thrill when you look in my eyes
My heart skips a beat girl I feel so alive
Please tell me baby if all this is true
Cause deep down inside all I wanted is you

Oh, makes me wanna dance
Oh, it's a new romance
Oh, I look into your eyes
Oh, best years of our lives

When we first met I could hardly believe
The things that would happen and we could achieve
So let's be together for all of our time
Oh girl I'm so thankful that you are still mine

Oh, makes me wanna dance
Oh, it's a new romance
Oh, I look into your eyes
Oh, best years of our lives

My world's a better place cause I know your mine
This love is so real and it's no surprise
Cause through the years I'll be right by your side

Oh, makes me wanna dance
Oh, it's a new romance
Oh, I look into your eyes
Oh, best years of our lives

So you always consider me an ugly duckling
Treat me like a Nostradamus
of which is why I have to keep my shine on
And break a little something to get my mind on
Cause you have my mind on
Turn the lights on,
Come on baby listen to the words of this song
Cause all I wanna do is make the rest years the best years
All night long
Oh, makes me wanna dance
Oh, it's a new romance
Oh, I look into your eyes
Oh, best years of our lives
Oh, makes me wanna dance
Oh, it's a new romance
Oh, I look into your eyes
Oh, best years of our lives"
none,none,none
Cruise Control,Sol,"We be coolin' in the shade
(Right)

You should try to respect
The way I mic check
When I'm rhyming on the shit
Put the lighter to the spliff
Life is just a [?], but it matters how you treat her
Love her fuck her cut and leave her
I need a lover who could be with me forever
Even if I never eat her I'm too hungry for these beats yo
I need more dough cause cash rule the globe
And if you didn't know now you know (now you know)

I put my hands up, not for the local hip hop
But to the ozone hoping I could find the gods
Climbing to the top got me shining by the brow
Sweat means you're working hard enough to feel the crowd
Feel me now, hear me now
I am really who I say I am
Your biggest fan [?] and I'm not [?]
And you're not Eminem this is hip hop
B-bop, Jazz R&B, Rock n Roll black music

I found a way to control
Where I go

I used to fly so high, I thought I'd never come down
'Til one day I found out what it's really 'bout
If you don't do it now it will never happen
I used to think I was forever rappin' til I met a 'has-been'
You lose some magic every time you use it
So don't abuse it or you'll end up as a one-hit poof-then
Who's him? No one knows
Used to blaze flows, from the back of his throat but it's been years since we've seen him glow
Do you need the needle or do you fiend for the wax
Me, I bleed on tracks, Sol, be a junkie for rap
Fuck that other shit, never touch nothin' but the pen
'Til the end, and if you see me again, my friend
Know that nothin' ever changes but the weather and the trends
And even them, they really mean nothing in the end
What was it that I said before? Oh
I found a way to control, if it's soul let me flow like

I found a way to control
Where I go

See, no matter how high, I always find a way to ride... na'mean?

Yeah... yeah...
Piano mane

It's like I only got a few more years to live
Because the window in this game is small and it closes quick
And on top of that I swear to God everybody raps
But only a chosen few support the local cats
They cut my lights out last week I'm working like a factory
A thousand CD's at a time I'm in these streets
Begging for ears to hear my blood sweat and tears
Took a couple years but in a second they dismiss
Even when I flow sick ""Sol's this
What did you expect? The same kid?"" Na I'm grown and shit
And I'm better than ya'll now
I'm fed up with ya'll now
I'm goin to get my cheddar get the fuck up or stand down
Tryna find a way to bring the corners from all around
Hold together singing the same song and sing it loud
Feel the sound from underground
Harriet Tubman style
Quit fuckin' around this is more than just a town
Let's make this money now
Control the market now
Marcus Garvey style fuck the A and R on top will knock em down
Search his pockets take my scrilla back
Cause foreala we all killas when it come to the cash
(Take control)"
none,none,none
